"","Id","views","influence","followers"
"1","_bemiles",66,0.8,66
"2","_cdeboer",89,1.3,89
"3","_imaintain_",759,1.6,759
"4","_janjelle",1612,3.5,1612
"5","_jjdewit",240.6,0.66,240.6
"6","_marceljonker_",363,0.7,363
"7","_marjolein_b",272,13.1,272
"8","_nikhef",3026,1.3,3026
"9","_royaleve_",702,1.4,702
"10","_smallingerland",4151.71428571429,3.07142857142857,4151.71428571429
"11","_tmln",68,3.3,68
"12","_zero_e_",1334,1.1,1334
"13","10ebean",197.375,0.6625,197.375
"14","112groningennl",18798,1.5,18798
"15","112martine",177,0.7,177
"16","112regioflits",1971,2.3,1971
"17","1234henksissing",1278,1,1278
"18","1967woman",124.166666666667,0.913888888888889,124.166666666667
"19","197winstonsmith",3663,3.8,3663
"20","1aletheia1",106,0.8,106
"21","2016_nature",95,0.7,95
"22","2019phdday",211,0.8,211
"23","22venice",305,1.2,305
"24","31jet31",116,0.8,116
"25","3rdeden",2764,0.6,2764
"26","400musea2015",1024,1.1,1024
"27","5groningen",638.208333333333,2.2125,638.208333333333
"28","5maeike",185,1.6,185
"29","70vrij",183,1.2,183
"30","777777710",816,1.56923076923077,816
"31","a_huit",56,0.8,56
"32","a_schoenmakers",113,0.675,113
"33","a2z_interactive",1859,0.7,1859
"34","aafkepostma",1100.16666666667,2.08333333333333,1100.16666666667
"35","aaltsjemeindert",528,0.8,528
"36","aanzetcoaching",54,1,54
"37","aas_office",4332,1.2,4332
"38","aaw_darmstadt",1686,0.7,1686
"39","ab_bles",261,0.7,261
"40","abakker28",443,2,443
"41","abelreitsma",257,1.6,257
"42","abemec",2087,1,2087
"43","abemecflevoland",1281.73913043478,1.4,1281.73913043478
"44","abigailstev",2421,0.7,2421
"45","abluejeans",159,0.8,159
"46","abombarend",106,1.9,106
"47","abpaasloo",565,0.8,565
"48","abrianbichanga",40,0.5,40
"49","absiloli",48.25,0.8,48.25
"50","academictrnsfr",11721,1,11721
"51","accoladenl",1937,3.9,1937
"52","acherontiadex",2119,2.2,2119
"53","achtkarspelen",4509,4,4509
"54","actieleer",518,4.67142857142857,518
"55","actiepieten",254,3.4,254
"56","adamklezmer",2340,1,2340
"57","addydezeeuw",1393,0.8,1393
"58","addyrutgers",739.625,12.6875,739.625
"59","adenneboom",52,2.1,52
"60","aderapper",1407,1.2,1407
"61","adfaasse",189,1.1,189
"62","adfreetalkradio",1784,0.7,1784
"63","adhofstra",5554.6,4.62,5554.6
"64","adjee96",1016.5,0.4,1016.5
"65","adriaanluistert",216,1.9,216
"66","adriaanpals",1053,2.2,1053
"67","adrianprw",2549,0.8,2549
"68","adriencoffinet",973,0.7,973
"69","advdmeulen",245,1.7,245
"70","aetherealaura",307,1.9,307
"71","aetudelft",1958,2.2,1958
"72","ageethnijboer",356,4.7,356
"73","ageethstrijker",105,1.4,105
"74","agfnl",8469,0.8,8469
"75","agnesmuldercda",10826.3333333333,3.03333333333333,10826.3333333333
"76","agnesschilder",436,1.2,436
"77","agreving",78,2.6,78
"78","agrifoto",4809.25,2.6,4809.25
"79","agrofoodcluster",334,2,334
"80","agrotechniek",1911,1.1,1911
"81","ahdelange",1915,0.7,1915
"82","ahhonings",681,11.2,681
"83","ahrisseeuw",1981.33333333333,1.73333333333333,1981.33333333333
"84","aieahengelo",187,1.9,187
