query;date;url;sentiment;type;discussion length;views;author;followers;influence;GPS latitude;GPS longitude;message text;source;title
icdrachten OR nijsmellinghe OR r...;2020-07-01 23:48;https://twitter.com/Bakker156/status/1278445482424111107;;comment;4;2247;Bakker156;2247;3.1;;;13. Met het zakenkabinet in de gemeente [@_Smallingerland] lijkt het wel goed te komen, want @felixvanbeek is messcherp. Delcroix is inderdaad een Belg! Vorig jaar won hij de helle-rit in Noord-Frankrijk!;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 23:07;https://twitter.com/hfalcke/status/1278435037302620160;;comment;9;5075;hfalcke;5075;8.3;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 22:46;https://twitter.com/felixvanbeek/status/1278429753331068930;+;comment;11;;felixvanbeek;1019;1.9;;;@RichTiggeler @nhdagblad [@_Smallingerland] Dank je, Rich;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 20:44;https://twitter.com/internetsporen/status/1278399015537856517;;comment;9;999;internetsporen;999;1.1;;;Gisteren aanwezig bij @MetNerdsOmTafel om te praten over het werk binnen het digitale taakveld bij de politie. Voor https://t.co/TH2agolwDT is ook wat tijd gereserveerd en komt ook zeker aan bod. @politieTDO [@rocfriesepoort] @nhlstenden @RenzeTjoelker #hackathon #pps;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 20:31;https://twitter.com/joshiyogesh1998/status/1278395916760670208;;comment;9;60;joshiyogesh1998;60;0.8;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:20;https://twitter.com/I_LOFAR/status/1278377844285079553;;comment;9;1791;I_LOFAR;1791;3;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:14;https://twitter.com/DaphneMeijer001/status/1278376429596692480;+;post;3;88;DaphneMeijer001;88;0.8;;;Geslaagd voor mijn Master Learning & Innovation aan de NHL Stenden! Het was een bijzondere tijd met de geboorte van Julian, de start van FP-Design en Corona, maar het is gelukt en daar ben ik best wel trots op! #master #education #blendedlearning #fpdesign [#rocfriesepoort];twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:08;https://twitter.com/RichTiggeler/status/1278374808523288578;+;comment;11;;RichTiggeler;2229;1.2;;;@nhdagblad Gefeliciteerd @felixvanbeek ! Bedankt voor alles in Alkmaar. Veel plezier en succes toegewenst in [@_Smallingerland];twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 19:04;https://twitter.com/Jeroen_van_wijk/status/1278373890021097474;+;comment;4;311;Jeroen_van_wijk;311;3.4;;;Gaaf project en mooie samenwerking 💪;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 18:44;https://twitter.com/dlawit/status/1278368995041849344;;comment;4;315;dlawit;315;1.8;;;G A A F... en daardoor een snelle fietsverbinding vanuit Opeinde naar treinstation [Drachten]-West???;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 18:23;https://twitter.com/marcel_peterse/status/1278363678614708224;;post;;653;marcel_peterse;653;1.9;;;Afleveruh! [@dewulf_group]  ML1680 en ME100 https://t.co/HFFEB7m9O8;twitter;
icdrachten OR nijsmellinghe OR r...;2020-07-01 17:24;https://twitter.com/R2goru/status/1278348773953925121;;comment;9;603;R2goru;603;0.8;;;RT @RadioNet_EU: Job advertisement!! @unibielefeld is looking for an experienced radio astronomer in the context of MeerKAT and the SKA. https://t.co/9CiNzufzke @OnsalaRymd @jivevlbi @IRA_INAF @ESO @Metsahovi @jodrellbank [@ASTRON_NL] @LOFAR @virac_irbene @I_LOFAR #research #astronomy #Science https://t.co/zxtIYXgPrm;twitter;
